0;508805
1;503301
2;496756
3;483336
4;478382
5;475789
6;471705
7;457955
8;454592
9;447710
10;435486
11;424464
12;419271
13;419643
14;422265
15;427928
16;435813
17;445235
18;456353
19;467766
20;480028
21;497163
22;517599
23;539855
24;565263
25;595868
26;630882
27;667813
28;703525
29;738522
30;768447
31;793149
32;809645
33;819052
34;818897
35;813361
36;802966
37;791078
38;779114
39;768947
40;760824
41;751924
42;742097
43;735947
44;728241
45;716074
46;702343
47;689230
48;672477
49;658084
50;645701
51;629094
52;608323
53;585928
54;565218
55;547035
56;530751
57;515754
58;507560
59;505089
60;497346
61;489676
62;487276
63;479371
64;465162
65;447594
66;427120
67;414377
68;387289
69;360856
70;350593
71;354560
72;348055
73;356063
74;365288
75;365872
76;355796
77;344199
78;329837
79;311888
80;290164
81;269558
82;247172
83;225287
84;203075
85;182851
86;161408
87;140111
88;117974
89;97204
90;77973
91;61447
92;47855
93;37470
94;28785
95;21914
96;16470
97;12024
98;8438
99;5569
100;7721
